ip,devicetype
10.128.10.9,GP_ROUTER
10.128.10.13,GP_ROUTER
10.128.93.11,GP_ROUTER
10.131.12.2,GP_UPS
10.131.91.226,GP_UPS
10.131.12.26,GP_UPS
10.128.52.18,GP_ROUTER
10.131.52.62,GP_UPS
10.128.93.18,GP_ROUTER
10.128.10.35,GP_ROUTER
10.131.91.254,GP_UPS
10.131.12.114,GP_UPS
10.128.52.23,GP_ROUTER
10.131.52.82,GP_UPS
10.128.10.16,GP_ROUTER
10.131.11.250,GP_UPS
10.128.93.14,GP_ROUTER
10.131.91.238,GP_UPS
10.128.52.20,GP_ROUTER
10.131.52.70,GP_UPS
10.128.10.7,GP_ROUTER
10.128.10.54,GP_ROUTER
10.128.52.14,GP_ROUTER
10.131.12.190,GP_UPS
10.131.52.46,GP_UPS
10.128.93.40,GP_ROUTER
10.128.10.27,GP_ROUTER
10.131.92.86,GP_UPS
10.131.12.82,GP_UPS
10.128.52.40,GP_ROUTER
10.131.52.150,GP_UPS
10.131.12.38,GP_UPS
10.128.93.15,GP_ROUTER
10.128.10.21,GP_ROUTER
10.131.12.58,GP_UPS
10.131.91.242,GP_UPS
10.128.52.8,GP_ROUTER
10.128.10.5,GP_ROUTER
10.131.52.22,GP_UPS
10.131.11.242,GP_UPS
10.128.93.29,GP_ROUTER
10.131.92.42,GP_UPS
10.128.10.51,GP_ROUTER
10.131.12.178,GP_UPS
10.128.10.63,GP_ROUTER
10.128.93.17,GP_ROUTER
10.131.12.226,GP_UPS
10.131.91.250,GP_UPS
10.128.10.48,GP_ROUTER
10.128.52.6,GP_ROUTER
10.131.12.166,GP_UPS
10.131.52.14,GP_UPS
10.128.10.41,GP_ROUTER
10.131.12.138,GP_UPS
10.128.93.58,GP_ROUTER
10.131.92.158,GP_UPS
10.128.52.21,GP_ROUTER
10.131.52.74,GP_UPS
10.128.10.34,GP_ROUTER
10.131.12.110,GP_UPS
10.128.52.2,GP_ROUTER
10.128.10.65,GP_ROUTER
10.131.51.254,GP_UPS
10.131.12.234,GP_UPS
10.128.10.59,GP_ROUTER
10.131.12.210,GP_UPS
10.128.52.16,GP_ROUTER
10.131.52.54,GP_UPS
10.128.10.12,GP_ROUTER
10.131.12.22,GP_UPS
10.128.10.29,GP_ROUTER
10.131.12.90,GP_UPS
10.128.52.9,GP_ROUTER
10.131.52.26,GP_UPS
10.128.10.57,GP_ROUTER
10.131.12.202,GP_UPS
10.128.93.4,GP_ROUTER
10.131.91.198,GP_UPS
10.128.93.38,GP_ROUTER
10.131.92.78,GP_UPS
10.128.10.52,GP_ROUTER
10.131.12.182,GP_UPS
10.128.93.30,GP_ROUTER
10.131.92.46,GP_UPS
10.128.52.63,GP_ROUTER
10.131.95.182,GP_UPS
10.128.10.56,GP_ROUTER
10.128.93.57,GP_ROUTER
10.128.52.22,GP_ROUTER
10.131.52.78,GP_UPS
10.131.12.198,GP_UPS
10.131.92.154,GP_UPS
10.128.93.41,GP_ROUTER
10.131.92.90,GP_UPS
10.128.52.17,GP_ROUTER
10.131.52.58,GP_UPS
10.128.52.44,GP_ROUTER
10.128.93.48,GP_ROUTER
10.131.52.166,GP_UPS
10.131.92.118,GP_UPS
10.128.10.19,GP_ROUTER
10.131.12.50,GP_UPS
10.128.93.66,GP_ROUTER
10.128.93.6,GP_ROUTER
10.128.93.36,GP_ROUTER
10.131.109.106,GP_UPS
10.131.91.206,GP_UPS
10.131.92.70,GP_UPS
10.128.52.4,GP_ROUTER
10.131.52.6,GP_UPS
10.128.93.50,GP_ROUTER
10.131.92.126,GP_UPS
10.128.10.28,GP_ROUTER
10.128.93.53,GP_ROUTER
10.131.12.86,GP_UPS
10.131.92.138,GP_UPS
10.128.10.45,GP_ROUTER
10.128.93.9,GP_ROUTER
10.131.12.154,GP_UPS
10.131.91.218,GP_UPS
10.128.10.11,GP_ROUTER
10.128.93.65,GP_ROUTER
10.131.12.14,GP_UPS
10.131.109.102,GP_UPS
10.128.10.2,GP_ROUTER
10.131.11.230,GP_UPS
10.128.93.61,GP_ROUTER
10.131.92.170,GP_UPS
10.128.10.67,GP_ROUTER
10.131.12.6,GP_UPS
10.128.52.15,GP_ROUTER
10.128.10.46,GP_ROUTER
10.131.12.158,GP_UPS
10.128.93.25,GP_ROUTER
10.131.52.50,GP_UPS
10.128.93.2,GP_ROUTER
10.131.92.26,GP_UPS
10.131.91.190,GP_UPS
10.128.10.18,GP_ROUTER
10.128.52.60,GP_ROUTER
10.131.95.170,GP_UPS
10.131.12.46,GP_UPS
10.128.10.50,GP_ROUTER
10.128.93.22,GP_ROUTER
10.131.12.174,GP_UPS
10.131.92.14,GP_UPS
10.128.52.26,GP_ROUTER
10.131.52.94,GP_UPS
10.128.10.36,GP_ROUTER
10.128.10.47,GP_ROUTER
10.128.93.28,GP_ROUTER
10.131.12.118,GP_UPS
10.131.92.38,GP_UPS
10.131.12.162,GP_UPS
10.128.52.5,GP_ROUTER
10.131.52.10,GP_UPS
10.128.93.16,GP_ROUTER
10.131.91.246,GP_UPS
10.128.52.51,GP_ROUTER
10.131.52.194,GP_UPS
10.128.10.38,GP_ROUTER
10.128.93.60,GP_ROUTER
10.131.12.126,GP_UPS
10.131.92.166,GP_UPS
10.128.10.37,GP_ROUTER
10.131.12.122,GP_UPS
10.128.52.31,GP_ROUTER
10.131.52.114,GP_UPS
10.128.10.32,GP_ROUTER
10.131.12.102,GP_UPS
10.128.52.24,GP_ROUTER
10.131.52.86,GP_UPS
10.128.93.45,GP_ROUTER
10.131.92.106,GP_UPS
10.128.10.24,GP_ROUTER
10.128.52.3,GP_ROUTER
10.131.12.70,GP_UPS
10.131.52.2,GP_UPS
10.128.93.19,GP_ROUTER
10.128.10.43,GP_ROUTER
10.131.92.2,GP_UPS
10.131.12.146,GP_UPS
10.128.10.22,GP_ROUTER
10.128.52.10,GP_ROUTER
10.131.12.62,GP_UPS
10.131.52.30,GP_UPS
10.128.10.3,GP_ROUTER
10.128.10.23,GP_ROUTER
10.131.11.234,GP_UPS
10.131.12.66,GP_UPS
10.128.52.46,GP_ROUTER
10.131.52.174,GP_UPS
10.128.10.69,GP_ROUTER
10.128.10.40,GP_ROUTER
10.131.12.134,GP_UPS
10.128.93.68,GP_ROUTER
10.131.97.38,GP_UPS
10.131.109.114,GP_UPS
10.128.10.66,GP_ROUTER
10.131.12.238,GP_UPS
10.128.10.31,GP_ROUTER
10.128.93.59,GP_ROUTER
10.131.92.162,GP_UPS
10.128.10.62,GP_ROUTER
10.131.12.222,GP_UPS
10.128.10.61,GP_ROUTER
10.131.12.218,GP_UPS
10.128.93.7,GP_ROUTER
10.131.91.210,GP_UPS
10.128.93.35,GP_ROUTER
10.131.92.66,GP_UPS
10.128.93.39,GP_ROUTER
10.128.93.63,GP_ROUTER
10.131.92.82,GP_UPS
10.131.98.42,GP_UPS
10.128.10.71,GP_ROUTER
10.131.103.254,GP_UPS
10.128.52.58,GP_ROUTER
10.131.95.162,GP_UPS
10.131.12.98,GP_UPS
10.128.52.56,GP_ROUTER
10.131.95.154,GP_UPS
10.128.93.3,GP_ROUTER
10.131.91.194,GP_UPS
10.128.52.53,GP_ROUTER
10.131.95.142,GP_UPS
10.128.93.56,GP_ROUTER
10.131.92.150,GP_UPS
10.128.93.5,GP_ROUTER
10.131.91.202,GP_UPS
